,hv010,hv011,hv012,hv014,hv216
559,2,2,8,1,7
560,1,0,5,1,2
561,0,0,2,0,3
562,0,1,1,0,1
563,1,0,3,1,2
564,0,0,2,0,2
565,0,0,1,0,1
566,0,0,8,0,3
567,1,0,1,0,1
568,2,0,11,3,4
569,5,1,15,6,10
570,1,1,6,1,4
571,2,1,6,1,2
572,0,0,4,0,3
573,3,2,9,1,4
574,0,0,4,0,1
575,3,0,6,1,2
576,4,0,14,1,5
577,1,1,5,1,2
578,1,1,5,3,2
579,0,0,1,0,4
580,0,0,1,0,1
581,0,0,2,0,2
582,1,3,8,2,3
583,1,0,4,0,1
584,1,0,4,1,2
585,0,0,3,1,1
586,1,0,3,1,2
587,1,1,7,3,3
588,0,1,1,0,1
589,1,0,6,1,2
590,3,1,8,3,6
591,0,1,4,0,2
592,4,1,10,1,5
593,1,0,4,0,2
594,0,0,2,0,2
595,2,1,8,2,4
596,1,0,8,1,4
597,0,1,3,0,2
598,2,1,7,1,4
599,2,1,3,0,2
600,1,1,6,1,2
601,1,0,6,1,1
602,1,0,4,2,1
603,1,0,3,0,1
604,1,3,8,0,1
605,1,0,4,2,1
606,0,0,3,1,2
607,1,0,4,0,1
608,1,1,5,2,1
609,1,0,3,1,1
610,1,1,5,1,1
611,1,0,2,1,1
612,0,0,3,0,2
613,2,3,14,4,2
614,1,0,5,0,5
615,1,0,4,2,1
616,1,1,2,0,1
617,0,2,5,0,3
618,1,0,2,0,1
619,2,0,6,2,1
620,2,0,7,1,3
621,0,0,1,0,1
622,1,0,4,1,3
623,1,0,3,1,2
624,1,0,3,1,2
625,3,0,6,1,6
626,1,0,3,1,2
627,1,0,9,2,2
628,3,0,7,0,4
629,1,0,4,1,3
630,0,1,4,2,3
631,2,2,7,1,3
632,2,0,6,1,4
633,2,5,11,1,5
634,0,0,1,0,3
635,1,0,3,1,1
636,1,1,4,2,1
637,2,0,5,0,2
638,1,0,3,0,2
639,4,1,9,1,3
640,1,0,6,3,2
641,0,1,3,0,2
642,0,0,3,1,1
643,0,0,2,0,6
644,1,1,4,2,1
645,1,1,3,1,1
646,1,0,4,0,2
647,1,1,4,0,3
648,1,1,4,0,1
649,1,0,3,0,1
650,0,0,2,0,1
651,0,0,3,0,3
652,2,0,8,4,3
653,1,1,4,0,2
654,0,0,2,0,3
655,2,2,11,1,6
656,1,1,3,0,1
657,1,0,6,2,2
658,1,0,4,0,3
659,2,0,6,0,3
660,1,0,4,1,2
661,4,0,6,2,3
662,2,3,7,0,4
663,1,1,6,2,3
664,0,0,2,0,2
665,1,0,6,1,2
666,1,0,5,0,1
667,0,0,2,1,3
668,1,1,6,2,4
669,1,0,7,0,2
670,1,1,5,3,2
671,1,0,5,0,3
672,1,0,5,1,1
673,4,0,13,3,4
674,1,1,6,1,2
675,1,0,7,1,2
676,1,0,1,0,1
677,1,0,6,1,1
678,0,1,1,0,1
679,2,0,7,0,2
680,0,0,2,1,1
681,1,0,5,1,3
682,0,0,1,0,1
683,3,2,7,2,2
684,1,0,4,0,2
685,1,0,4,0,2
686,1,0,5,1,2
687,1,1,4,2,1
688,3,0,8,3,5
689,1,0,7,2,2
690,2,0,5,1,2
691,3,2,6,0,5
692,1,0,6,0,4
693,0,0,4,1,1
694,1,3,7,0,4
695,1,0,6,1,5
696,1,0,3,1,1
697,1,0,8,1,2
698,2,0,5,0,2
699,1,2,6,1,3
700,0,0,1,0,2
701,3,1,10,1,3
702,2,2,8,1,2
703,1,1,4,0,2
704,1,1,4,1,1
705,1,0,4,0,4
706,1,0,3,0,2
707,2,0,9,1,5
708,0,0,7,1,3
709,1,2,6,1,2
710,2,0,7,1,2
711,2,0,4,1,2
712,2,2,5,1,4
713,2,0,5,2,2
714,2,0,7,3,4
715,1,0,12,1,4
716,1,0,3,1,1
717,1,0,9,4,4
718,1,0,2,0,1
719,0,1,5,0,3
720,2,0,4,0,1
721,0,0,2,1,1
722,4,0,7,1,3
723,0,0,1,0,1
724,1,0,3,1,1
725,1,0,2,0,1
726,3,5,14,2,4
727,1,0,3,0,1
728,0,0,1,0,1
729,1,0,5,2,2
730,3,0,6,1,2
